gutenberg_id,text
5314,"the desert, in which she was imprisoned, there stood an old hollow"
5314,"tree, and this had to be her dwelling-place. Into this she crept when"
5314,"night came, and here she slept. Here, too, she found a shelter from"
5314,"storm and rain, but it was a miserable life, and bitterly did she weep"
5314,"when she remembered how happy she had been in heaven, and how the"
5314,"angels had played with her. Roots and wild berries were her only food,"
5314,and for these she sought as far as she could go. In the autumn she
5314,"picked up the fallen nuts and leaves, and carried them into the hole."
5314,"The nuts were her food in winter, and when snow and ice came, she crept"
5314,amongst the leaves like a poor little animal that she might not freeze.
5314,"Before long her clothes were all torn, and one bit of them after"
5314,"another fell off her. As soon, however, as the sun shone warm again,"
5314,"she went out and sat in front of the tree, and her long hair covered"
5314,"her on all sides like a mantle. Thus she sat year after year, and felt"
5314,"the pain and the misery of the world. One day, when the trees were once"
5314,"more clothed in fresh green, the King of the country was hunting in the"
5314,"forest, and followed a roe, and as it had fled into the thicket which"
5314,"shut in this part of the forest, he got off his horse, tore the bushes"
5314,"asunder, and cut himself a path with his sword. When he had at last"
5314,"forced his way through, he saw a wonderfully beautiful maiden sitting"
5314,under the tree; and she sat there and was entirely covered with her
5314,golden hair down to her very feet. He stood still and looked at her
5314,"full of surprise, then he spoke to her and said, “Who art thou? Why art"
5314,"thou sitting here in the wilderness?” But she gave no answer, for she"
5314,"could not open her mouth. The King continued, “Wilt thou go with me to"
5314,my castle?” Then she just nodded her head a little. The King took her
5314,"in his arms, carried her to his horse, and rode home with her, and when"
5314,he reached the royal castle he caused her to be dressed in beautiful
5314,"garments, and gave her all things in abundance. Although she could not"
